asset_number,manufacturer,category,size,manufacturing_date,asset_name,decommissioned_date
SAID-0003462,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,5/1/2010,DCM-270BAH,12/16/2024
SAID-0009521,Manitowoc Ice,"Ice Maker, Self Contained",240,7/16/2021,UYF0240A,-
SAID-0013349,"Hoshizaki America, Inc.",Ice Maker,505,3/18/2025,KMD-505MWJ,-
SAID-0013348,"Hoshizaki America, Inc.",Bin,0,3/18/2025,BD-500SF,-
SAID-0013347,Koolaire,Bin,0,3/10/2025,K970,-
SAID-0013346,Koolaire,Ice Maker,1700,3/10/2025,KDT1700A-261,-
SAID-0007605,"Hoshizaki America, Inc.",Ice Maker,450,10/6/2015,KML-450MAH,3/18/2025
SAID-0009087,Koolaire,Bin,0,1/14/2021,K970,3/18/2025
SAID-0005626,"Hoshizaki America, Inc.",Ice Maker,230,6/2/2020,KM-230BAJ,3/18/2025
SAID-0005153,"Hoshizaki America, Inc.",Ice Maker,151,7/1/2015,KM-151BAH,3/18/2025
SAID-0006029,"Hoshizaki America, Inc.",Ice Maker,350,3/1/2020,KM-350MAJ,-
SAID-0010217,"Hoshizaki America, Inc.",Bin,0,1/1/2017,B-300PF,-
SAID-0013344,Manitowoc Ice,Bin,0,3/17/2025,LB1448,-
SAID-0013345,Manitowoc Ice,Ice Maker,1900,3/17/2025,IRT1900A,-
SAID-0002454,"Hoshizaki America, Inc.",Bin,0,7/1/2007,B-700PF,12/23/2024
SAID-0007105,"Hoshizaki America, Inc.",Ice Maker,901,6/1/2015,KM-901MWH,12/23/2024
SAID-0013342,"Hoshizaki America, Inc.",Bin,0,3/17/2025,B-500SF,-
SAID-0013343,"Hoshizaki America, Inc.",Ice Maker,1002,3/17/2025,F-1002MAJ-C,-
SAID-0001857,"Hoshizaki America, Inc.",Bin,0,3/1/2007,B-500PF,3/17/2025
SAID-0006560,"Hoshizaki America, Inc.",Ice Maker,515,12/1/2010,KM-515MWH,3/17/2025
SAID-0006088,"Hoshizaki America, Inc.",Ice Maker,500,2/1/2005,KM-500MAH,-
SAID-0013340,Koolaire,Ice Maker,420,3/14/2025,KDT-0420A,-
SAID-0013341,Koolaire,Bin,0,3/14/2025,K-420,-
SAID-0008233,"Hoshizaki America, Inc.",Ice Maker,631,12/1/2016,KML-631MAH,3/14/2025
SAID-0002390,"Hoshizaki America, Inc.",Bin,0,7/1/2021,B-700PF,-
SAID-0008085,"Hoshizaki America, Inc.",Ice Maker,500,1/1/2018,KML-500MAJ,-
SAID-0009407,Manitowoc Ice,Ice Maker,620,12/16/2022,IYT0620A,-
SAID-0013338,Koolaire,Bin,0,3/11/2025,K-420,-
SAID-0013337,Koolaire,Ice Maker,420,3/11/2025,KDT-0420A,-
SAID-0008654,"Follett Products, LLC",Bin,0,2/25/2020,SG1300S-48,-
SAID-0009519,Manitowoc Ice,"Ice Maker, Self Contained",240,10/25/2017,UYF0240A,-
SAID-0007735,"Hoshizaki America, Inc.",Ice Maker,451,10/1/2014,KML-451MAH,3/13/2025
SAID-0005302,"Hoshizaki America, Inc.",Ice Maker,1601,4/1/2013,KM-1601SWH,3/13/2025
SAID-0013336,Manitowoc Ice,"Ice Maker, Self Contained",240,3/13/2025,UYF0240A,-
SAID-0013335,"Hoshizaki America, Inc.",Bin,0,3/10/2025,B-500SF,-
SAID-0001780,"Hoshizaki America, Inc.",Bin,0,6/1/2022,B-500PF,5/16/2024
SAID-0006431,"Hoshizaki America, Inc.",Ice Maker,515,11/1/2011,KM-515MWH,1/27/2025
SAID-0013333,Manitowoc Ice,Ice Maker,620,3/5/2025,RNP0620A,-
SAID-0011543,Kolpak,Remote Condenser,0,11/3/2023,KPC69MZOP-3E,-
SAID-0011544,Kolpak,Cooler,0,11/3/2023,KEM26-007-2EC-PR-4,-
SAID-0003250,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,7/1/2016,CRMR60-W,3/25/2025
SAID-0003235,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,6/1/2013,CRMR48-8,3/25/2025
SAID-0001216,"Hoshizaki America, Inc.",Bin,0,6/24/2021,B-300SF,-
SAID-0013306,"Hoshizaki America, Inc.",Ice Maker,1002,3/3/2025,F-1002MAJ-C,-
SAID-0013332,Manitowoc Ice,Bin,0,3/5/2025,D420,-
SAID-0013230,MGR Equipment Corp.,Bin,0,1/27/2025,SP-700-2PC-SS,-
SAID-0010077,"Hoshizaki America, Inc.",Ice Maker,1601,1/1/2016,KM-1601SAH,-
SAID-0011676,"Hoshizaki America, Inc.",Bin,0,12/15/2023,B-900SF,-
SAID-0000264,"Follett Products, LLC",Bin,0,4/6/2006,LSG1300S,3/11/2025
SAID-0005419,"Hoshizaki America, Inc.",Ice Maker,1900,1/1/2016,KM-1900SAH3,3/11/2025
SAID-0003513,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,12/1/2017,DCM-300BAH,-
SAID-0010095,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,1/1/2017,DCM-300BAH,-
SAID-0011487,"Follett Products, LLC",Bin,0,9/1/2023,SG700S-30,-
SAID-0009170,Koolaire,Ice Maker,500,1/28/2022,KYT-0500A,-
SAID-0003843,"Hoshizaki America, Inc.",Ice Maker,1501,4/30/2019,F-1501MWJ-C,-
SAID-0013152,"Follett Products, LLC",Bin,0,12/23/2024,SG2100-72,-
SAID-0007006,"Hoshizaki America, Inc.",Ice Maker,901,11/1/2017,KM-901MAJ,3/12/2025
SAID-0010230,"Hoshizaki America, Inc.",Bin,0,10/1/2015,B-700PF,3/12/2025
SAID-0008010,"Hoshizaki America, Inc.",Ice Maker,451,6/1/2010,KML-451MWH,3/12/2025
SAID-0009918,"Amerikooler, Inc.",Walk-In,0,6/9/2008,Walk-In,-
SAID-0012494,Manitowoc Ice,Ice Dispenser,0,8/19/2024,IYT1500N-263E,-
SAID-0012588,Manitowoc Ice,Undercounter Ice Maker,0,9/10/2024,IBT-1020C,-
SAID-0012493,Manitowoc Ice,Ice Dispenser,0,8/19/2024,JCT1500-261,-
SAID-0012495,Manitowoc Ice,Bin,0,8/19/2024,D970,-
SAID-0012542,"Hoshizaki America, Inc.",Ice Maker,860,8/28/2024,KMD-860MAJ,-
SAID-0000165,Continental Refrigerator,Refrigerator/Freezer,0,6/9/2008,SW60-16-D,-
SAID-0004220,"Hoshizaki America, Inc.",Ice Maker,500,5/1/2014,IM-500SAA,3/11/2025
SAID-0009696,Scotsman Ice Systems,Ice Maker,424,5/25/2021,UF424A-1,3/11/2025
SAID-0004541,"Hoshizaki America, Inc.",Ice Maker,500,8/1/2019,IM-500SAB,3/11/2025
SAID-0009298,Manitowoc Ice,Ice Maker,522,7/17/2013,ID0522A,3/11/2025
SAID-0004486,"Hoshizaki America, Inc.",Ice Maker,500,5/1/2018,IM-500SAA,3/11/2025
SAID-0013298,"Follett Products, LLC",Bin,0,2/26/2025,SG2100-72,-
SAID-0009335,Manitowoc Ice,Ice Maker,1900,8/1/2022,IDT1900A,3/11/2025
SAID-0003528,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,5/1/2020,DCM-300BAH-OS,3/11/2025
SAID-0005717,"Hoshizaki America, Inc.",Ice Maker,2600,11/1/2018,KM-2600SRJ3,3/11/2025
SAID-0003615,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,3/1/2020,DCM-500BAH-OS,3/11/2025
SAID-0003467,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,11/1/2020,DCM-270BAH-OS,3/11/2025
SAID-0004648,"Hoshizaki America, Inc.",Ice Maker,1100,2/1/2017,KM-1100MAH,3/11/2025
SAID-0011815,"Hoshizaki America, Inc.",Ice Maker,200,12/4/2017,IM-200BAA,3/11/2025
SAID-0005724,"Hoshizaki America, Inc.",Ice Maker,2600,7/1/2019,KM-2600SRJ3,3/11/2025
SAID-0006057,"Hoshizaki America, Inc.",Ice Maker,350,4/1/2022,KM-350MAJ,3/11/2025
SAID-0010117,"Hoshizaki America, Inc.",Ice Maker,450,8/1/2017,F-450MAJ,3/11/2025
SAID-0001412,"Hoshizaki America, Inc.",Bin,0,8/1/2013,B-500PF,-
SAID-0004132,"Hoshizaki America, Inc.",Ice Maker,200,8/1/2017,IM-200BAA,3/11/2025
SAID-0009287,Manitowoc Ice,Ice Maker,522,7/17/2013,ID0522A,3/11/2025
SAID-0006613,"Hoshizaki America, Inc.",Ice Maker,520,3/1/2021,KM-520MAJ,-
SAID-0009683,Scotsman Ice Systems,Ice Maker,330,7/12/2022,MC0330SA-1A,3/11/2025
SAID-0009493,Manitowoc Ice,"Ice Maker, Self Contained",65,6/22/2018,UDE0065A,3/11/2025
SAID-0010721,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,8/20/2020,DCM-500BAH-OS,3/11/2025
SAID-0010634,Scotsman Ice Systems,Ice Maker,1215,3/12/2023,UN1215A-1A,3/11/2025
SAID-0009189,Koolaire,Ice Maker,1700,1/14/2021,KYT-1700A,3/11/2025
SAID-0009748,"True Manufacturing Co., Inc.",Refrigerator/Freezer,0,11/23/2021,T-49G-HC-FGD01,3/11/2025
SAID-0013329,"Hoshizaki America, Inc.",Bin,0,3/4/2025,B-700SF,-
SAID-0013175,"Hoshizaki America, Inc.",Ice Maker,500,1/15/2025,IM-500SAB,-
SAID-0013330,"Hoshizaki America, Inc.",Ice Maker,500,3/4/2025,IM-500SAB,-
SAID-0013307,"Hoshizaki America, Inc.",Ice Maker,500,3/3/2025,IM-500SAB,-
SAID-0013324,"True Manufacturing Co., Inc.",Refrigerator/Freezer,0,3/6/2025,TBB-24-48G-HC-LD,-
SAID-0012265,Scotsman Ice Systems,Water and Ice Maker/Dispenser,0,8/26/2021,HID312A-1,-
SAID-0004139,"Hoshizaki America, Inc.",Ice Maker,200,12/1/2018,IM-200BAB,-
SAID-0007568,"Hoshizaki America, Inc.",Ice Maker,350,3/1/2006,KML-350MWH,10/23/2024
SAID-0012882,"Hoshizaki America, Inc.",Ice Maker,500,5/6/2013,F-500BAF,3/10/2025
SAID-0006870,"Hoshizaki America, Inc.",Ice Maker,901,10/1/2011,KM-901MAH,10/10/2024
SAID-0006554,"Hoshizaki America, Inc.",Ice Maker,515,5/1/2010,KM-515MWH,10/18/2024
SAID-0007321,"Hoshizaki America, Inc.",Ice Maker,410,7/1/2019,KMD-410MAH,-
SAID-0013323,"Hoshizaki America, Inc.",Ice Maker,500,3/6/2025,F-500BAJ,-
SAID-0000618,"Hoshizaki America, Inc.",Bin,0,5/1/2019,B-1300SS,-
SAID-0013315,"Hoshizaki America, Inc.",Ice Maker,1900,3/6/2025,KM-1900SAJ3,-
SAID-0001247,"Hoshizaki America, Inc.",Bin,0,2/1/2022,B-300SF,-
SAID-0013318,"Hoshizaki America, Inc.",Ice Maker,500,3/6/2025,IM-500SAB,-
SAID-0000687,"Hoshizaki America, Inc.",Bin,0,1/1/2013,B-1650SS,11/5/2024
SAID-0005680,"Hoshizaki America, Inc.",Ice Maker,2500,2/1/2013,KM-2500SWH3,11/5/2024
SAID-0005681,"Hoshizaki America, Inc.",Ice Maker,2500,2/1/2013,KM-2500SWH3,11/5/2024
SAID-0010102,"Hoshizaki America, Inc.",Ice Maker,1100,2/1/2017,KM-1100MAH,3/10/2025
SAID-0010189,"Hoshizaki America, Inc.",Ice Maker,2001,7/1/2015,F-2001MWH,3/10/2025
SAID-0010083,"Hoshizaki America, Inc.",Ice Maker,530,8/1/2016,KMD-530MAH,3/10/2025
SAID-0010103,"Hoshizaki America, Inc.",Ice Maker,201,12/1/2016,KM-201BAH,3/10/2025
SAID-0010090,"Hoshizaki America, Inc.",Ice Maker,201,6/1/2016,KM-201BAH,3/10/2025
SAID-0010170,"Hoshizaki America, Inc.",Ice Maker,#N/A,7/1/2018,KMS-830MLJ,3/10/2025
SAID-0010147,"Hoshizaki America, Inc.",Ice Maker,1122,4/1/2018,KMS-1122MLJ,3/10/2025
SAID-0010137,"Hoshizaki America, Inc.",Ice Maker,325,2/1/2018,KML-325MAJ,3/10/2025
SAID-0004157,"Hoshizaki America, Inc.",Ice Maker,200,5/1/2020,IM-200BAC,-
SAID-0003544,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,500,11/1/2011,DCM-500BAH,10/27/2023
SAID-0013319,"Hoshizaki America, Inc.",Ice Maker,500,3/6/2025,IM-500SAB,-
SAID-0013321,"Hoshizaki America, Inc.",Bin,0,3/6/2025,B-300SF,-
SAID-0013322,"Hoshizaki America, Inc.",Bin,0,3/6/2025,B-800SF,-
SAID-0013320,"Hoshizaki America, Inc.",Ice Maker,1002,3/6/2025,F-1002MAJ,-
SAID-0007007,"Hoshizaki America, Inc.",Ice Maker,901,11/1/2017,KM-901MAJ,-
SAID-0003429,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,10/1/2019,DCM-270BAH,-
SAID-0008409,"Hoshizaki America, Inc.",Ice Maker,1122,3/1/2020,KMS-1122MLH,3/7/2025
SAID-0009860,"True Manufacturing Co., Inc.",Preparation Table,0,2/21/2013,TSSU-48-12,3/7/2025
SAID-0005343,"Hoshizaki America, Inc.",Ice Maker,1601,8/1/2010,KM-1601SWH,3/7/2025
SAID-0002915,"Hoshizaki America, Inc.",Bin,0,3/1/2020,B-900PF,3/7/2025
SAID-0013326,"Hoshizaki America, Inc.",Remote Condenser,0,3/7/2025,URC-26JZ,-
SAID-0013325,"Hoshizaki America, Inc.",Ice Maker,2600,3/7/2025,KM-2600SRJZ3,-
SAID-0000225,"Follett Products, LLC",Ice Bagger,0,3/27/2018,DB1000,-
SAID-0013308,"Hoshizaki America, Inc.",Ice Maker,500,3/3/2025,IM-500SAB,-
SAID-0011072,Koolaire,Ice Maker,500,7/2/2021,KYT-0500A,-
SAID-0013242,"Hoshizaki America, Inc.",Ice Maker,500,1/29/2025,IM-500SAB,-
SAID-0013300,Manitowoc Ice,Ice Maker,0,2/28/2025,UDF0240A,-
SAID-0013305,Manitowoc Ice,Ice Maker,320,3/3/2025,RNP0320A,-
SAID-0010861,Koolaire,Ice Maker,700,5/12/2021,KYT-0700A,-
SAID-0013304,Manitowoc Ice,Bin,0,3/3/2025,D420,-
SAID-0007219,"Hoshizaki America, Inc.",Ice Maker,410,5/1/2016,KMD-410MAH,-
SAID-0002423,"Hoshizaki America, Inc.",Bin,0,10/17/2022,B-700PF,-
SAID-0003246,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,10/1/2018,CRMR60-16,10/25/2023
SAID-0011659,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,9/28/2018,CRMR60-16,5/15/2024
SAID-0010027,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,3/13/2025,CRMR60-16,5/15/2024
SAID-0013316,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,9/28/2018,CRMR60-16,3/25/2025
SAID-0006035,"Hoshizaki America, Inc.",Ice Maker,350,7/1/2020,KM-350MAJ,-
SAID-0004602,"Hoshizaki America, Inc.",Ice Maker,500,10/17/2022,IM-500SAB,-
SAID-0013313,"Hoshizaki America, Inc.",Ice Maker,500,3/6/2025,IM-500SAB,-
SAID-0013314,"Hoshizaki America, Inc.",Ice Maker,500,3/6/2025,IM-500SAB,-
SAID-0003079,"Hoshizaki America, Inc.","Ice Maker, Self Contained",80,1/1/2019,C-80BAJ-AD,3/5/2025
SAID-0003424,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,10/9/2019,DCM-270BAH,3/5/2025
SAID-0003905,"Hoshizaki America, Inc.",Ice Maker,330,1/1/2019,F-330BAJ-C,3/5/2025
SAID-0003785,"Hoshizaki America, Inc.",Ice Maker,1001,7/1/2020,F-1001MWJ-C,3/5/2025
SAID-0008183,"Hoshizaki America, Inc.",Ice Maker,500,4/1/2019,KML-500MWJ,3/5/2025
SAID-0008989,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",360,12/15/2022,NG-360-A1F,3/5/2025
SAID-0009167,Koolaire,Ice Maker,500,9/2/2021,KYT-0500A,3/5/2025
SAID-0003468,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,12/1/2020,DCM-270BAH-OS,3/5/2025
SAID-0006780,"Hoshizaki America, Inc.",Ice Maker,660,8/1/2018,KM-660MAJ,3/5/2025
SAID-0003901,"Hoshizaki America, Inc.",Ice Maker,330,2/1/2018,F-330BAJ-C,3/5/2025
SAID-0008301,"Hoshizaki America, Inc.",Ice Maker,700,1/1/2018,KML-700MAJ,3/5/2025
SAID-0005798,"Hoshizaki America, Inc.",Ice Maker,260,3/1/2017,KM-260BAH,3/5/2025
SAID-0007751,"Hoshizaki America, Inc.",Ice Maker,451,3/1/2014,KML-451MAH,3/5/2025
SAID-0004246,"Hoshizaki America, Inc.",Ice Maker,500,2/1/2015,IM-500SAA,3/5/2025
SAID-0007289,"Hoshizaki America, Inc.",Ice Maker,410,10/1/2018,KMD-410MAH,3/5/2025
SAID-0003903,"Hoshizaki America, Inc.",Ice Maker,330,4/1/2018,F-330BAJ-C,3/5/2025
SAID-0008335,"Hoshizaki America, Inc.",Ice Maker,700,3/1/2019,KML-700MAJ,3/5/2025
SAID-0007320,"Hoshizaki America, Inc.",Ice Maker,410,7/1/2019,KMD-410MAH,3/5/2025
SAID-0006089,"Hoshizaki America, Inc.",Ice Maker,500,2/1/2005,KM-500MAH,3/5/2025
SAID-0006140,"Hoshizaki America, Inc.",Ice Maker,500,6/1/2005,KM-500MWH,3/5/2025
SAID-0004764,"Hoshizaki America, Inc.",Ice Maker,1300,8/10/2017,KM-1300SWH,3/5/2025
SAID-0007612,"Hoshizaki America, Inc.",Ice Maker,450,10/1/2003,KML-450MWH,3/5/2025
SAID-0007565,"Hoshizaki America, Inc.",Ice Maker,350,11/1/2003,KML-350MWH,3/5/2025
SAID-0004755,"Hoshizaki America, Inc.",Ice Maker,1300,8/1/2022,KM-1300SWH,3/5/2025
SAID-0004753,"Hoshizaki America, Inc.",Ice Maker,1300,4/1/2022,KM-1300SWH,3/5/2025
SAID-0013092,"Hoshizaki America, Inc.",Ice Maker,1100,2/3/2020,KM-1100MAJ,3/5/2025
SAID-0012685,"Hoshizaki America, Inc.",Ice Maker,520,3/26/2022,KM-520MAJ,3/5/2025
SAID-0013312,Koolaire,Ice Maker,700,3/5/2025,KYT-0700A,-
SAID-0006944,"Hoshizaki America, Inc.",Ice Maker,901,1/14/2016,KM-901MAH,3/5/2025
SAID-0001526,"Hoshizaki America, Inc.",Bin,0,12/1/2015,B-500PF,3/5/2025
SAID-0004077,"Hoshizaki America, Inc.",Ice Maker,801,11/1/2018,F-801MWJ-C,-
SAID-0007441,"Hoshizaki America, Inc.",Ice Maker,530,3/1/2019,KMD-530MAH,-
SAID-0003547,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,500,7/1/2013,DCM-500BAH,1/16/2025
SAID-0007839,"Hoshizaki America, Inc.",Ice Maker,451,8/1/2016,KML-451MAH,3/4/2025
SAID-0003539,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,8/1/2020,DCM-300BAH-OS,3/4/2025
SAID-0006817,"Hoshizaki America, Inc.",Ice Maker,660,3/1/2020,KM-660MWJ,3/4/2025
SAID-0010133,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,1/1/2018,DCM-270BAH,3/4/2025
SAID-0008982,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",360,8/11/2022,NG-360-A1F,3/4/2025
SAID-0005690,"Hoshizaki America, Inc.",Ice Maker,2500,4/1/2016,KM-2500SWH3,3/4/2025
SAID-0006886,"Hoshizaki America, Inc.",Ice Maker,901,10/1/2012,KM-901MAH,-
SAID-0007685,"Hoshizaki America, Inc.",Ice Maker,451,6/1/2013,KML-451MAH,-
SAID-0013311,"Hoshizaki America, Inc.",Ice Maker,1002,3/4/2025,F-1002MAJ,-
SAID-0009382,Manitowoc Ice,Ice Maker,454,10/18/2017,IY0454A,-
SAID-0009374,Manitowoc Ice,Ice Maker,454,10/18/2017,IY0454A,-
SAID-0009363,Manitowoc Ice,Ice Maker,304,10/18/2017,IY0304A,1/28/2025
SAID-0010067,"Hoshizaki America, Inc.",Ice Maker,650,7/1/2020,FD-650MAJ-C,-
SAID-0002474,"Hoshizaki America, Inc.",Bin,0,5/1/2010,B-700PF,-
SAID-0009105,Koolaire,"Ice Maker, Self Contained",250,3/8/2022,KDF-0250A,-
SAID-0007545,"Hoshizaki America, Inc.",Ice Maker,325,8/2/2012,KML-325MAJ,-
SAID-0004085,"Hoshizaki America, Inc.",Ice Maker,650,11/1/2019,FD-650MAJ-C,-
SAID-0009348,Manitowoc Ice,Ice Maker,500,7/26/2021,IRT0500W,-
SAID-0009494,Manitowoc Ice,"Ice Maker, Self Contained",140,10/15/2003,UDF0140A,-
SAID-0008991,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",360,12/15/2022,NG-360-A1H,-
SAID-0007290,"Hoshizaki America, Inc.",Ice Maker,410,12/1/2018,KMD-410MAH,-
SAID-0009416,Manitowoc Ice,Ice Maker,1200,10/5/2022,IYT1200A,-
SAID-0009504,Manitowoc Ice,"Ice Maker, Self Contained",240,7/13/2022,UDF0240W,-
SAID-0008974,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",230,8/12/2022,NG-230-A1F,-
SAID-0005802,"Hoshizaki America, Inc.",Ice Maker,260,5/1/2017,KM-260BAH,-
SAID-0010105,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,4/1/2017,DCM-300BAH,-
SAID-0005081,"Hoshizaki America, Inc.",Ice Maker,1340,12/1/2019,KM-1340MAJ,-
SAID-0011876,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,7/29/2019,DCM-270BAH,-
SAID-0012867,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,4/10/2017,DCM-270BAH,-
SAID-0003616,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,3/1/2020,DCM-500BAH-OS,-
SAID-0005880,"Hoshizaki America, Inc.",Ice Maker,301,8/1/2020,KM-301BAJ,-
SAID-0010065,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,12/1/2020,DCM-270BAH-OS,-
SAID-0009430,Manitowoc Ice,Ice Maker,1900,10/20/2021,IYT1900A,-
SAID-0007310,"Hoshizaki America, Inc.",Ice Maker,410,5/1/2019,KMD-410MAH,-
SAID-0003530,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,5/1/2020,DCM-300BAH-OS,-
SAID-0008649,"Hoshizaki America, Inc.",Stand,0,3/1/2019,SD-750,-
SAID-0005084,"Hoshizaki America, Inc.",Ice Maker,1340,7/1/2020,KM-1340MAJ,-
SAID-0003534,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,7/1/2020,DCM-300BAH-OS,-
SAID-0003407,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,11/1/2018,DCM-270BAH,-
SAID-0005244,"Hoshizaki America, Inc.",Ice Maker,1601,11/1/2018,KM-1601SAJ,-
SAID-0007049,"Hoshizaki America, Inc.",Ice Maker,901,12/15/2022,KM-901MAJ,-
SAID-0003398,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,7/1/2018,DCM-270BAH,-
SAID-0009695,Scotsman Ice Systems,Ice Maker,915,9/23/2021,UF0915A-1,-
SAID-0012233,Manitowoc Ice,"Ice Maker, Self Contained",310,1/20/2018,UYF0310A,-
SAID-0010072,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,6/1/2020,DCM-300BAH,-
SAID-0006757,"Hoshizaki America, Inc.",Ice Maker,650,6/1/2014,KM-650MWH,-
SAID-0008979,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",230,8/26/2022,NG-230-A1H,-
SAID-0012077,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",360,5/9/2024,NG-360-A1F,-
SAID-0007326,"Hoshizaki America, Inc.",Ice Maker,460,7/22/2019,KMD-460MAJ,-
SAID-0008946,"ITV Ice Makers, Inc.",Ice Maker,700,8/3/2022,IQN 700 A,-
SAID-0009657,Scotsman Ice Systems,Ice Maker,920,5/3/2021,CU0920MA-1,-
SAID-0011722,Scotsman Ice Systems,"Ice Maker, Self Contained",1215,1/9/2024,UN1215A-1A,-
SAID-0005875,"Hoshizaki America, Inc.",Ice Maker,301,3/1/2020,KM-301BAJ,-
SAID-0010635,Kold-Draft,"Ice Maker, Self Contained",201,12/27/2022,SC201AC,-
SAID-0005439,"Hoshizaki America, Inc.",Ice Maker,1900,12/1/2022,KM-1900SRJ,-
SAID-0012744,"Atosa USA, Inc.",Ice Maker,450,9/27/2024,YR450-AP-161 ,-
SAID-0004143,"Hoshizaki America, Inc.",Ice Maker,200,11/1/2018,IM-200BAB,-
SAID-0005609,"Hoshizaki America, Inc.",Ice Maker,220,2/1/2020,KM-220SRJ3,-
SAID-0005440,"Hoshizaki America, Inc.",Ice Maker,1900,12/1/2022,KM-1900SRJ,-
SAID-0002210,"Hoshizaki America, Inc.",Bin,0,1/1/2017,B-700PF,-
SAID-0005729,"Hoshizaki America, Inc.",Ice Maker,2600,1/1/2021,KM-2600SRJ3,-
SAID-0008186,"Hoshizaki America, Inc.",Ice Maker,500,5/1/2021,KML-500MWJ,-
SAID-0009331,Manitowoc Ice,Ice Maker,1900,7/12/2021,IDT1900A,-
SAID-0007256,"Hoshizaki America, Inc.",Ice Maker,410,2/1/2018,KMD-410MAH,3/25/2025
SAID-0005740,"Hoshizaki America, Inc.",Ice Maker,2600,8/1/2018,KM-2600SWJ3,-
SAID-0005721,"Hoshizaki America, Inc.",Ice Maker,2600,6/1/2019,KM-2600SRJ3,-
SAID-0007271,"Hoshizaki America, Inc.",Ice Maker,410,5/1/2018,KMD-410MAH,-
SAID-0007453,"Hoshizaki America, Inc.",Ice Maker,530,11/1/2019,KMD-530MAJ,3/25/2025
SAID-0004544,"Hoshizaki America, Inc.",Ice Maker,500,10/1/2019,IM-500SAB,-
SAID-0004086,"Hoshizaki America, Inc.",Ice Maker,650,1/8/2020,FD-650MAJ-C,9/12/2024
SAID-0004388,"Hoshizaki America, Inc.",Ice Maker,500,2/1/2017,IM-500SAA,-
SAID-0013125,"Hoshizaki America, Inc.",Ice Maker,500,6/11/2019,IM-500SAA,-
SAID-0009323,Manitowoc Ice,Ice Maker,900,11/8/2021,IDT0900A,-
SAID-0012955,Scotsman Ice Systems,Undercounter Ice Maker,0,10/23/2024,UC2024MA-1,-
SAID-0010085,"Hoshizaki America, Inc.",Water and Ice Dispenser,0,10/1/2016,DM-200B,-
SAID-0003523,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,10/1/2020,DCM-300BAH,-
SAID-0012199,Manitowoc Ice,"Ice Maker, Self Contained",240,9/9/2021,UYF0240W,-
SAID-0009023,Kold-Draft,Ice Maker,561,12/1/2022,GTX561AC,-
SAID-0007557,"Hoshizaki America, Inc.",Ice Maker,325,1/1/2020,KML-325MAJ,-
SAID-0010073,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,5/1/2020,DCM-270BAH-OS,-
SAID-0012378,Koolaire,Ice Maker,500,7/30/2024,KDT-0500A,-
SAID-0009342,Manitowoc Ice,Ice Maker,500,9/14/2021,IRT0500A,-
SAID-0009183,Koolaire,Ice Maker,1000,6/4/2021,KYT-1000A,-
SAID-0004633,"Hoshizaki America, Inc.",Ice Maker,50,8/1/2020,IM-50BAA-Q,-
SAID-0011951,Scotsman Ice Systems,Ice Maker,622,3/15/2015,NH0622A-1,-
SAID-0009399,Manitowoc Ice,Ice Maker,500,7/28/2022,IYT0500W,-
SAID-0010059,"Hoshizaki America, Inc.",Ice Maker,801,11/1/2021,F-801MWJ,-
